Player,Receiver_Score,Receiver_Rank,Team
Marquez Valdes-Scantling,6.753376268625812,466.0,BUF
Kenny Yeboah,6.758106445754041,467.0,NYJ
Justin Herbert,6.762329127666924,468.0,LAC
Geno Smith,6.762329127666924,468.0,SEA
Gardner Minshew II,6.762329127666924,468.0,LV
Matthew Stafford,6.762329127666924,468.0,LAR
Justin Fields,6.762329127666924,468.0,PIT
Will Levis,6.762329127666924,468.0,TEN
MyCole Pruitt,6.7631343755719895,474.0,PIT
John Samuel Shenker,6.767127366911298,475.0,LV
Dan Chisena,6.76797391035066,476.0,CAR
Isaiah Hodgins,6.77030632406165,477.0,NYG
John Ross,6.771544614347414,478.0,PHI
DeAndre Hopkins,6.772495964827066,479.0,TEN
Bo Melton,6.777794399912477,480.0,GB
Tommy Tremble,6.778204856451965,481.0,CAR
Sean Tucker,6.79099402466414,482.0,TB
Jordan Mason,6.7979115629846,483.0,SF
John Bates,6.80069099618704,484.0,WAS
Charlie Jones,6.804417938066752,485.0,CIN
Adam Thielen,6.807878136441739,486.0,CAR
Blake Whiteheart,6.8109960691397085,487.0,CLE
Raheem Mostert,6.814755929305534,488.0,MIA
Dante Pettis,6.816596852917607,489.0,NO
Alec Ingold,6.830309111389453,490.0,MIA
Tyquan Thornton,6.834615753480634,491.0,NE
Sam Darnold,6.845662461000257,492.0,MIN
Brock Purdy,6.845662461000257,492.0,SF
Cooper Rush,6.845662461000257,492.0,DAL
Kyler Murray,6.845662461000257,492.0,ARI
Jalen Hurts,6.845662461000257,492.0,PHI
Joe Burrow,6.845662461000257,492.0,CIN
Laviska Shenault Jr.,6.861218015250274,498.0,SEA
Peyton Hendershot,6.874063455247266,499.0,KC
Daniel Bellinger,6.891885245387985,500.0,NYG
Brandon Johnson,6.904050632233833,501.0,PIT
Simi Fehoko,6.905780994889334,502.0,LAC
D'Onta Foreman,6.912836438299007,503.0,CLE
Grant Dubose,6.922931652633418,504.0,MIA
Ryan Flournoy,6.927183787125966,505.0,DAL
Lamar Jackson,6.928995794333591,506.0,BAL
Casey Washington,6.93479323119311,507.0,ATL
Tim Jones,6.9414866797064,508.0,JAX
Alex Bachman,6.943080213941444,509.0,LV
Eric Saubert,6.948308172967333,510.0,SF
